,state,year,prisoner_count,state_population,year_state
585,MISSISSIPPI,2012.0,15791.0,2986450,2012_MISSISSIPPI
586,MISSOURI,2012.0,31205.0,6024522,2012_MISSOURI
587,MONTANA,2012.0,3095.0,1005494,2012_MONTANA
588,NEBRASKA,2012.0,4721.0,1855350,2012_NEBRASKA
589,NEVADA,2012.0,12594.0,2754354,2012_NEVADA
590,NEW HAMPSHIRE,2012.0,2568.0,1321617,2012_NEW HAMPSHIRE
591,NEW JERSEY,2012.0,23050.0,8867749,2012_NEW JERSEY
592,NEW MEXICO,2012.0,6640.0,2083540,2012_NEW MEXICO
593,NEW YORK,2012.0,54058.0,19576125,2012_NEW YORK
594,NORTH CAROLINA,2012.0,37378.0,9748364,2012_NORTH CAROLINA
595,NORTH DAKOTA,2012.0,1413.0,701345,2012_NORTH DAKOTA
596,OHIO,2012.0,50872.0,11553031,2012_OHIO
597,OKLAHOMA,2012.0,24370.0,3815780,2012_OKLAHOMA
598,OREGON,2012.0,14123.0,3899801,2012_OREGON
599,PENNSYLVANIA,2012.0,50228.0,12764475,2012_PENNSYLVANIA
600,RHODE ISLAND,2012.0,3042.0,1050304,2012_RHODE ISLAND
601,SOUTH CAROLINA,2012.0,21867.0,4723417,2012_SOUTH CAROLINA
602,SOUTH DAKOTA,2012.0,3596.0,834047,2012_SOUTH DAKOTA
603,TENNESSEE,2012.0,19817.0,6454914,2012_TENNESSEE
604,TEXAS,2012.0,155195.0,26060796,2012_TEXAS
605,UTAH,2012.0,5309.0,2854871,2012_UTAH
606,VERMONT,2012.0,2034.0,625953,2012_VERMONT
607,VIRGINIA,2012.0,29708.0,8186628,2012_VIRGINIA
608,WASHINGTON,2012.0,16919.0,6895318,2012_WASHINGTON
609,WEST VIRGINIA,2012.0,5335.0,1856680,2012_WEST VIRGINIA
610,WISCONSIN,2012.0,22419.0,5724554,2012_WISCONSIN
611,WYOMING,2012.0,2187.0,576626,2012_WYOMING
613,ALABAMA,2013.0,26825.0,4833996,2013_ALABAMA
614,ALASKA,2013.0,5081.0,737259,2013_ALASKA
615,ARIZONA,2013.0,41031.0,6634997,2013_ARIZONA
